project,module,STANDARD_LIB,JAVAMOP,RVMONITOR,PROJECT,THIRD_PARTY_LIB,NATIVE,ASPECTJ,OTHER,VIOLATION,ASPECTJ_INSTRUMENTATION,ASPECTJ_RUNTIME,ASPECTJ_OTHER,MONITORING,SPECIFICATION,MOP_AND_AJC,RVMONITOR_LOCK,MONITORING_LOCK,LOCK,UNKNOWN,sum manual,sum profiler
webjars-webjars-locator,webjars-webjars-locator,0,0,21,213,0,0,0,103,1,9857,785,8,10,16,180,13,26,691,0,11924,11924
weblyzard-nilsimsa,weblyzard-nilsimsa,0,0,1,14,0,0,0,45,0,640,2,0,11,4,179,0,1,0,0,897,897
webmate-io-webmate-sdk-java,webmate-io-webmate-sdk-java,0,0,5,167,0,0,0,99,0,8015,52,6,6,6,202,0,2,0,0,8560,8560
WebThingsIO-webthing-java,WebThingsIO-webthing-java,0,0,3,31,0,0,0,46,0,1521,2,0,11,11,138,0,0,0,0,1763,1763
wechatpay-apiv3-CertificateDownloader,wechatpay-apiv3-CertificateDownloader,0,0,1,46,0,0,0,55,0,3771,32,2,6,4,183,0,0,0,0,4100,4100
Wedjaa-JavaAnsibleVault,Wedjaa-JavaAnsibleVault,0,0,2,309,0,0,0,89,0,6195,102,3,15,10,222,2,0,0,0,6949,6949
weibocom-yar-java,weibocom-yar-java,0,0,5,91,0,0,0,69,0,5286,32,2,9,5,183,1,1,0,0,5684,5684
welk1n-ReverseShell-Java,welk1n-ReverseShell-Java,0,0,2,73,0,0,0,54,0,1987,2,0,8,8,60,0,0,0,0,2194,2194
wepay-WePay-Java-SDK,wepay-WePay-Java-SDK,0,0,1,15,0,0,0,42,0,1405,1,0,6,7,64,0,0,0,0,1541,1541
weswilliams-GivWenZen,weswilliams-GivWenZen,0,0,110,384,0,0,0,140,0,19660,915,14,17,22,124,12,25,0,0,21423,21423
whizzosoftware-WZWave,whizzosoftware-WZWave,0,0,2,205,0,0,0,114,0,12238,116,2,16,6,150,0,0,1,0,12850,12850
william-ferguson-au-asymmetric-crypto,william-ferguson-au-asymmetric-crypto,0,0,1,16,0,0,0,36,0,741,1,0,10,7,140,0,0,0,0,952,952
wiqer-ef-redis,wiqer-ef-redis,0,0,5841,99,0,0,0,4666,0,1939,22,0,318,141,175,621,854,0,0,14676,14676
wmixvideo-bradesco-boleto-registro,wmixvideo-bradesco-boleto-registro,0,0,0,19,0,0,0,57,0,2075,9,0,13,5,177,0,0,0,0,2355,2355
wnameless-workbook-accessor,wnameless-workbook-accessor,0,0,72,504,0,0,0,169,2,16039,934,17,19,27,133,20,29,0,0,17965,17965
wolf-yuan-6115-flowermoon,wolf-yuan-6115-flowermoon,0,0,1,1,0,0,0,44,0,553,1,0,4,6,139,0,0,0,0,749,749
woodpecker-appstore-yonyou-nc-decrypter,woodpecker-appstore-yonyou-nc-decrypter,0,0,1,0,0,0,0,32,0,665,1,0,5,7,79,0,0,0,0,790,790
