project,dynamic,static
Atrox-haikunatorjava,0,0
atteo-evo-inflector,0,0
attoparser-attoparser,0,0
augustd-burp-suite-jsonpath,0,0
aurbroszniowski-os-platform-finder,0,0
aurbroszniowski-Rainfall-core,0,0
autermann-yaml,2201,8
authlete-authlete-java-common,126,2
AuthorizeNet-sample-code-java,572,10
AuthorizeNet-sdk-java,12,4
authorjapps-simulator,1201,14
avaje-common-avaje-agentloader,15,3
AVMf-avmf,0,0
AwakenCN-InChat,0,0
aws-amazon-neptune-sigv4-signer,45,1
aws-cloudformation-cloudformation-template-schema,0,0
awslabs-amazon-kinesis-scaling-utils,0,0
awslabs-amazon-sns-java-extended-client-lib,0,0
awslabs-aws-codepipeline-custom-job-worker,33,6
awslabs-aws-glue-catalog-sync-agent-for-hive,12,4
awslabs-route53-infima,1592,8
axelhjalm-bitwig-midi-fighter-twister,0,0
azam-ulidj,1,1
azige-moebooru-viewer,14,1
Azure-azure-functions-java-worker,420,55
Azure-Samples-cassandra-proxy,0,0
badlogic-basis-template,107,1
baidu-smartapp-openapi-java,138150,3
Bandwidth-java-bandwidth,2,1
BarcodeAPI-server,166,24
barrer-translate-online,0,0
Barteks2x-173generator,0,0
basdijkstra-tau-rest-assured,342,21
baswerc-routes,1,1
bazaarvoice-dropwizard-redirect-bundle,0,0
bazaarvoice-jsonpps,75,3
bazaarvoice-rison,52,4
bdupras-guava-probably,55,7
BellaDati-belladati-sdk-java,2107,29
ben-xo-cdjscrobbler,1,1
beothorn-URISchemeHandler,0,0
berlam-github-bucket,141,5
bernardosulzbach-dungeon,21,5
berndporr-iirj,0,0
BestCreater-SSM,0,0
bestyize-DoubanAPI,0,0
beyonddream-JRAKE,0,0
bfh-evg-unicrypt,8,5
bgandon-juli-to-slf4j,0,0
binance-binance-connector-java,380,1
binance-binance-futures-connector-java,185,1
BingAds-BingAds-Java-SDK,1827,10
binghe001-mykit-holiday,0,0
bingoohuang-excel2javabeans,3672,21
bingoohuang-westid,8,4
biouno-figshare-java-api,0,0
biouno-pbs-java-api,6,6
bkatwal-kafka-solr-sink-connector,0,0
bkatwal-kafka-util,1438,19
bkiers-atlas,256,2
blackbeard334-djoom3,0,0
blackdoor-hate,12,1
Blazemeter-xtn5250,3200,5
blinkfox-jpack-maven-plugin,10741,20
blinkfox-mini-table,0,0
blinkfox-zealot,16,1
blueapron-kafka-connect-protobuf-converter,0,0
bluemix-NumberToArabicWords,0,0
bmatthews68-ldapunit,714,15
bmwcarit-hmm-lib,10,1
bohnman-squiggly,812,3
bonnyfone-vectalign,0,0
bookshelfdave-etp,0,0
bouncestorage-chaos-http-proxy,1078,49
bpodgursky-jbool_expressions,0,0
bpsm-edn-java,27,2
braintree-braintree_java,0,0
bremersee-sms,58,5
brettwooldridge-SparseBitSet,0,0
bruceran-krpc,70,7
brutusin-commons,0,0
brutusin-instrumentation,0,0
bserdar-jcliff,1,1
btrekkie-dynamic-connectivity,0,0
btrplace-scheduler,20061,121
bubuntux-poker-engine,0,0
buddy-works-simple-java-project,0,0
budhash-cliche,0,0
c0ny1-captcha-killer,0,0
camunda-camunda-xml-model,1461,10
Cantara-Java-Auto-Update,24,1
carlosbritojun-jflunt,0,0
carlostse-jopencc,0,0
CarmJos-AliDDNS-Updater,746,3
casbin-jcasbin,11,4
casid-jusecase,0,0
cbartosiak-bson-codecs-jsr310,0,0
cellsrg-tabbypdf,0,0
Celos-avro-json-decoder,0,0
