project,dynamic,static
kamaladafrica-codice-fiscale,8,8
kamranzafar-jtar,8,2
kapoorlabs-kiara,1,1
KasperFranz-AntiAd,0,0
kayahr-pherialize,0,0
kazuhikoarase-jaconv,0,0
keighrim-mae-annotation,83,11
keikai-dev-ref,20,8
keith0591-pgp-encryption,44,8
KevinStern-software-and-algorithms,2577,40
kevin-wang001-mockj,0,0
kevin-wang001-poi-el,0,0
kgalant-PackageBuilder,0,0
kifj-jboss-syslog,4,2
killbilling-recurly-java-library,52358,1
kittylyst-ocelotvm,13,1
kklisura-props-to-constants-generator,2,2
klakegg-pkix-ocsp,2,2
knowm-jspice,0,0
koendeschacht-bow-utils,2,2
koen-serneels-ws-proxy,13,13
kohsuke-wordnet-random-name,0,0
kolchagov-java-crud-api,0,0
konsolas-ConditionalCommands,0,0
koraktor-steam-condenser-java,152323,6
KosherJava-zmanim,0,0
kravchik-jcommon,10,2
kristofa-mock-http-server,53,12
kristofa-wicket-tagcloud,0,0
krpors-delver,0,0
krullert-universe,33,18
ksprojects-zkcopy,0,0
Kuangcp-NettyBook2,1000001,2
Kugin-data-reconciliation,0,0
kungfoo-geohash-java,0,0
Kurento-kurento-module-creator,396,8
kwart-demo-kerberos-in-java,3,3
Labs64-swid-generator,0,0
lafaspot-ja3_4java,0,0
lamarios-sherdog-parser,6953,4
LarryDpk-Google-Bard,0,0
lastaflute-lastaflute,1212,3
lastfm-coverartarchive-api,7,5
LatencyUtils-LatencyUtils,0,0
lazee-freemarker-java-8,623,10
lbehnke-hierarchical-clustering-java,0,0
Lcry-java-png-compress-util,0,0
lemire-externalsortinginjava,1131,9
leonbloy-pngj,3922,21
leonhad-paradoxdriver,41,11
leonliao-wechat-app-pay-java-sdk,10,5
lerndevops-samplejavaapp,0,0
lettuce-io-lettuce-core,2074,46
levigo-jbig2-imageio,0,0
lexburner-consistent-hash-algorithm,0,0
lexburner-kdio,0,0
lfkdsk-bnf-ast,0,0
liangbaika-validate,0,0
LianjiaTech-json-diff,5,2
libcoolsocket-java,51,10
LibrePDF-OpenRTF,11,1
lightningMan-flash-netty,0,0
lightoze-gwt-i18n-server,0,0
lingyejun-tick-authenticator,0,0
linked-solutions-jarql,84,5
linux-china-plantuml-gist,23,5
linux-china-rocker-template-demo,0,0
linux-china-toolchains-maven-plugin,13,3
liqpay-sdk-java,0,0
liuanxin-api-document,0,0
liudongdong0909-mybatis-generator-core-fix,0,0
LiveRamp-HyperMinHash-java,12,1
lizard-framework-lizard-spi,0,0
llatinov-sample-dropwizard-rest-stub,0,0
locationtech-spatial4j,6250,12
loehndorf-scengen,3,2
LogisticsCraft-OcclusionCulling,0,0
logpresso-CVE-2021-44228-Scanner,4288,1
loong0306-commutils4j,0,0
L-PLUM-ContractDetection,508,3
lrozenblyum-chess,94130,22
lucaspouzac-contiperf,0,0
lucidworks-spark-solr,238299,278
luigiselmi-flink-kafka-consumer,0,0
lujinfeifly-jsoncode,0,0
lukas-vlcek-elasticsearch.demo,4927,22
lukfor-pgs-calc,1122,7
lyg5623-lightgbm_predict4j,0,0
lzgabel-camunda-cloud-bpmn-converter,765,5
m09-syllable-counter,0,0
macacajs-wd.java,284,28
magdel-MapNav,2,1
MagicTheGathering-mtg-sdk-java,37903,18
mahjong4j-mahjong4j,0,0
mailjet-mailjet-apiv3-java,39,5
makersoft-mybatis-shards,82,8
mambu-gmbh-Mambu-APIs-Java,3997,4
ManuelB-facebook-recommender-demo,7,1
maping-java-maven-calculator-web-app,0,0
marcosvidolin-doco,18,9
mariazevedo88-json-formatter-validator,12,3
MarkShen1992-Mashibing_High_Concurrency,0,0
marschall-path-classloader,20,3
marschall-svn-diffstat,0,0
martincooper-java-datatable,203,2
martin-g-wicket-jquery-selectors,21,5
marwin1991-keep-changelog-maven-plugin,0,0
marzn-telegrambot-japi,18,4
Maschell-JNUSLib,920,1
massigerardi-ta4j-strategy-parser,18,2
Mastercard-client-encryption-java,823,11
Mastercard-oauth1-signer-java,16,5
mastodon-sc-mastodon,52962,15
mateiw-littlebasic,56,3
mattdavey-EuronextClone,425,16
matthewhorridge-mdock,0,0
matthewhorridge-owlexplanation,1770,20
matthiaszimmermann-ethereum-paper-wallet,11,3
mattsheppard-gethostname4j,0,0
maven-nar-nar-maven-plugin,1,1
maxmind-geoip-api-java,4,1
maxtomin-decimal,0,0
mbizhani-Adroit,354,18
mbronshteyn-quarkus-jdbi-project,2935,43
mdeanda-lorem,0,0
mdewilde-opml-parser,2,2
mdewilde-podcast-parser,14735,10
mduerig-json-jerk,0,0
medmes-keycloak-monitoring-spi,26,2
meixuesong-aggregate-persistence,207,3
meltmedia-jgroups-aws,8,2
mercadopago-sdk-java,353,3
mesosphere-marathon-client,10,6
messai-engineering-Yuga,1,1
messenger4j-messenger4j,186,5
metamug-java-jwt,0,0
meteoinfo-wContour,0,0
MezereonXP-AnomalyDetectTool,0,0
mfathi91-persian-date-time,0,0
mguymon-model-citizen,8,2
mhshams-jnbis,99,3
michaeltandy-log4j-json,0,0
michaelwittig-java-q,0,0
microsoft-AppCenter-Test-Appium-Java-Extensions,366,17
MieskeB-json-api-spring-boot,679,2
mike10004-common-helper,179,25
mike706574-java-map-support,1,1
mikera-enlight,4,1
mikera-mikera,457,13
mikera-randomz,0,0
mileshenrichs-QuiFFT,24,13
mincloud1501-DevOps,0,0
mirabeau-nl-ceddl4j,0,0
MitchTalmadge-ASCII-Data,0,0
mixer-beam-client-java,3,2
Mixermachine-base-test,0,0
mixpanel-mixpanel-java,185,1
mjsalerno-UnoBot,0,0
mlaccetti-rocksaw,0,0
mlieshoff-jcrapi,4266,7
mmastrac-nanojson,3,1
mocnik-science-geogrid,0,0
mokiat-java-data-front,3,3
momosecurity-mosec-maven-plugin,20930,12
monitorjbl-excel-streaming-reader,147,44
monkeymq-jgossip,8,2
MottoX-BeanUtils,0,0
MottoX-TAOMP,0,0
MountCloud-graphql-client,0,0
moznion-java-random-string,0,0
mpatric-mp3agic,0,0
MPriess-GeoJSON-POJO,6,1
mraible-jhipster6-demo,38,10
MRPanyu-excel-imp-exp,420,6
msanez-sonar-branch-community,30,3
msarhan-ummalqura-calendar,0,0
msemys-esjc,75,2
msigwart-fakeload,14,6
msojocs-OmenChallengeHelper,0,0
mulesoft-catalyst-mule-sonarqube-plugin,18,4
mulesoft-labs-rhinodo,0,0
murfffi-zebra4j,551262,7
murreIsCoding-auth,0,0
MutabilityDetector-MutabilityDetector,2859,30
mvallim-emv-qrcode,371,20
mvel-mvel,2859,14
mvpjava-springboot-JUnit5-tutorial,0,0
mwanji-toml4j,102,7
mybatis-mapper-provider,8,4
myui-btree4j,0,0
named-data-jndn,0,0
naosense-markdown-preview-sync,0,0
narupley-not-going-to-be-commons-ssl,57773,27
naver-lucy-xss-servlet-filter,0,0
NawaMan-NullableJ,3,3
neil-justice-louvain,19,5
neilswainston-FragGenie,673,3
Neop-mudmap2,1,1
neo-search-multiple-string-searcher,42,23
netarchivesuite-heritrix3-wrapper,11,10
netceteragroup-trema-core,246,14
NetherlandsForensicInstitute-kafka-spout,634,9
neuland-jade4j,766,3
ngallagher-simplexml,2,2
nicolas-raoul-jakaroma,0,0
nicoulaj-checksum-maven-plugin,0,0
niesfisch-java-code-tracer,10,2
NightFlightCaptain-ssm,0,0
Nilhcem-FakeSMTP,2,2
ning-compress,494,27
ning-tr13,0,0
NishkarshRaj-Maven-Using-CMD,0,0
nla-outbackcdx,304,28
NLP2RDF-NIF-lib,192,14
NLPchina-ansj_seg,2427736,4
noelherrick-jell,5,5
noophq-subtitle,0,0
Nordstrom-nifi_terraform_generator,2,2
nothingax-micro-DB,32483,10
NovatecConsulting-BeanTest,44911,47
novotnyradek-fred-client,0,0
npathai-hamcrest-optional,0,0
NTTDATA-EMEA-QAT-cherry,0,0
nurkiewicz-typeof,0,0
nutzam-nutzwx,39,1
nuxeo-onedrive-java-client,12509,6
o19s-RankyMcRankFace,2,1
ocaffe-numero-por-extenso,0,0
ocpsoft-common,0,0
octavian-h-time-series-math,2592,6
odiszapc-nginx-java-parser,325,46
offbynull-kademlia,608,4
offbynull-portmapper,0,0
ogrodnek-java_fathom,0,0
ohioit-rundeck-http-plugin,35245,41
olcaytaner-201-DataStructures-Java,0,0
OnlineCodex-OnlineCodex,30090,2
ooxi-jdatauri,0,0
openapi-tools-swagger-maven-plugin,0,0
opendatalab-de-geojson-jackson,47,1
open-dis-open-dis-java,1,1
open-eid-cdoc4j,17599,58
OpenGamma-ElSql,0,0
opengeospatial-ets-ogcapi-features10,34068,9
openhkr-hkr-si,2,2
OpenLiberty-ci.common,0,0
openshift-openshift-restclient-java,539,15
openskynetwork-java-adsb,0,0
opentimestamps-java-opentimestamps,29,5
opentracing-contrib-java-concurrent,0,0
optimaize-command4j,38,1
OrderLab-OKLib,1531,5
OrhanKupusoglu-bazelize-maven-plugin,0,0
orientechnologies-orientdb-jdbc,218489,10
orphan-oss-launch4j-maven-plugin,1044,6
os72-protobuf-dynamic,0,0
osglworks-java-tool,1956,40
oskopek-javaanpr,0,0
outbrain-GomJabbar,126,1
OWASP-json-sanitizer,59,1
OWASP-OWASP-WebScarab,6,2
Pablissimo-SonarTsPlugin,6,6
pablobastidasv-kc_security,156,1
package-url-packageurl-java,0,0
PacktPublishing--Learn-Algorithms-and-Data-Structures-in-Java-for-Day-to-Day-Applications,0,0
pagehelper-Mybatis-PageHelper,1437,17
palatable-lambda,353963,74
palatable-shoki,1192,6
palindromicity-simple-syslog,19,3
parship-roperty,3,3
pascalgn-jiracli,312,18
patrickfav-uber-adb-tools,0,0
patriques82-alphavantage4j,1,1
pawandubey-griffin,0,0
PawelGorny-lostword,19500,1
Payment-Components-demo-sepa,0,0
paypal-Gibberish-Detector-Java,0,0
pedrovgs-Algorithms,0,0
peterbencze-serritor,18,1
PeterisP-morphology,74,2
peter-lawrey-admin-Chronicle-Ticker,0,0
petterobam-mds2index.html,19,1
PhantomThief-thrift-pool-client,100,1
phax-as2-server,19,5
phax-ph-events,5,1
pheerathach-promptpay,0,0
philihp-weblabora,0,0
phylogeography-spread,228059,2
pierredavidbelanger-logback-awslogs-appender,0,0
pingcap-tidb-loadbalance,0,0
pizihao-crow,12,12
pk8est-table-printer,5660,5
PlayPen-playpen-core,0,0
plutext-docx4j-export-FO,553,21
pmckeown-dependency-track-maven-plugin,81536,66
pmlopes-aws-lambda-native-vertx,3,1
PoslavskySV-libdivide4j,0,0
pouyaesm-signed-community-detection,205,4
ppke-nlpg-purepos,1,1
prat-man-unique4j,18,2
printingin3d-javascad,2200,16
profesorfalken-jPowerShell,0,0
profesorfalken-jSensors,0,0
Progether-JAdventure,114,13
Proteus1989-Air-Explorer-Decrypter,1,1
prpatel-serverless-java-mini-workshop,0,0
psjava-psjava,2,1
purcell-jargs,0,0
purecloudlabs-elasticsearch-lambda,0,0
PureMVC-puremvc-java-standard-framework,0,0
PvdBerg1998-PNet,18,3
pvto-konte-art,1,1
qala-io-java-beginner-course,0,0
qiurunze123-Designpattern,540,14
qmx-jitescript,0,0
qoomon-banking-swift-messages-java,19,1
qqilihq-property-editor,0,0
qubole-qds-sdk-java,275,16
qwhai-algorithms-sort,0,0
qzw1210-JustAuth,0,0
radkovo-Pdf2Dom,4536,2
RagedUnicorn-github-release-maven-plugin,683,5
RakhmedovRS-DataStructuresAndAlgorithmsInJava2ndEdition,60,2
ralscha-bsoncodec,4,2
random-maven-profile-activator-extension,0,0
raydac-java-binary-block-parser,147344,96
RayDeCampo-java-xirr,0,0
raymanrt-orientqb,1,1
razorpay-razorpay-java,176,1
reactiverse-vertx-maven-plugin,618,25
realexpayments-rxp-hpp-java,231,12
RealZimboGuy-ewelink-api-java,0,0
reckart-tt4j,0,0
redlink-gmbh-redlink-java-sdk,0,0
reecetech-bamboo-specs,1431,10
reggert-reb4j,0,0
reinert-JJSchema,29,2
renfei-ik-analyzer,3,1
resourcepool-ssdp-client,5,1
RestComm-jasn,0,0
RestExpress-PluginExpress,922,13
resurfaceio-logger-java,7,7
RetailMeNot-TestRailSDK,0,0
retest-recheck.cli,18,8
retog-wymiwyg-commons-core,0,0
retomerz-mosquito,0,0
revdotcom-revai-java-sdk,3266,9
rex-soft-rexdb,9,2
ricksbrown-jgenhtml,213,1
righettod-pst-digger,0,0
RIGS-IT-sonar-xanitizer,48,3
ripreal-V8LogScanner,1,1
riversun-bigdoc,0,0
riversun-java-promise,420,28
rjohnsondev-java-libpst,6,1
rjstanford-spreedly-java,4,2
rjwut-ian,10,10
RKumsher-utils,0,0
rnorth-duct-tape,0,0
rnorth-visible-assertions,98,1
robert-bor-aho-corasick,93,46
RobertStewart-privateer,0,0
robshep-logback-logdna,1,1
rockt-SETH,55,17
rohanpadhye-vasco,102232,122
romanb-JPA-NestedSet,179,10
rombert-desktop-maven-notifier,0,0
romix-java-concurrent-hash-trie-map,4736,7
ronmamo-reflections,59,4
roskart-dropwizard-jaxws,202,9
rovats-java-utils,15,1
rpau-javalang,89,11
rponte-dbunitmanager,0,0
rponte-pin-decrypter,0,0
rpuch-xremoting,177,13
rrice-java-string-similarity,0,0
rsatrio-Keycloak-Federation-ExistingDB,0,0
rstoyanchev-spring-mvc-chat,4,2
rstoyanchev-spring-websocket-portfolio,584,30
RTBHOUSE-avro-fastserde,38,22
rtyley-animated-gif-lib-for-java,0,0
ruddell-jhipster-chat-example,65548,17
rusakovichma-DocsReporter,3,2
rweather-noise-java,1,1
ryenus-rop,2,2
rynr-launchpad,0,0
saalfeldlab-stitching-spark,1325,29
sabomichal-liquibase-mssql,127,9
sachin-handiekar-jInstagram,39080,15
sagiegurari-fax4j,826,3
sailthru-sailthru-java-client,79,5
sambatriste-sql-formatter,0,0
sandflow-regxmllib,0,0
sangkeon-java-opa-wasm,4,2
sangupta-bloomfilter,2000000,1
sangupta-gather,0,0
sangupta-murmur,6,1
saoj-mentabean,97,3
SAP-archive-cloud-paulpredicts,4760,14
sarojaba-prettytable4j,15,2
savantly-net-log4j2-extended-jsonlayout,305,3
Sayi-swagger-diff,14,4
sbesada-java.math.expression.parser,0,0
sbesada-java.math.numerical.library,0,0
sblendorio-petscii-bbs,3,1
schnatterer-musicbrainzws2-java,71,5
SchweizerischeBundesbahnen-springboot-graceful-shutdown,13,5
scijava-scripting-clojure,2384,2
scipr-lab-dizk,52209,20
Scout24-illegal-transitive-dependency-check,4,4
Scout24-spring-boot-rpm-maven-plugin,4,1
scoutant-polyline-decoder,0,0
scouter-contrib-scouter-plugin-server-alert-slack,0,0
scubajorgen-FitReader,329,13
scylladb-kafka-connect-scylladb,0,0
sd4324530-JTuple,0,0
sdorra-shiro-unit,33,3
seahen-maven-s3-wagon,123,1
seansegal-tincisnotcatan,5292,6
seaswalker-netty-wheel,0,0
SecureSkyTechnology-burpextender-proxyhistory-webui,80,8
secure-software-engineering-sootdiff,2929,7
sedran-moment4j,0,0
seintur-jmixer,1,1
semuxproject-evm,21,6
seregamorph-hamcrest-more-matchers,0,0
serg472-htmlcompressor,2855,10
sevntu-checkstyle-dsm-maven-plugin,65,5
sgoertzen-sonar-break-maven-plugin,12,1
sgoeschl-freemarker-cli,844,27
sgreben-regex-builder,0,0
shapesecurity-salvation,49,1
shazam-shazamcrest,9020,9
shibing624-crf-seg,18,4
shipilev-jdk-backports-monitor,0,0
shred-commons-xml,0,0
shreyasht-java8-validator,0,0
Shunshun94-discord-bcdicebot,290,6
SiftScience-kafka-assigner,32,2
sigopt-sigopt-java,15105,3
silentsoft-oss-notice-file-generator,0,0
simbo1905-root-objects,1605,25
simonnagl-netdata-java-orchestrator,44485,12
SimpleAstronomy-simple-astronomy-lib,0,0
SimpleFinance-kafka-dropwizard-reporter,0,0
simplenlg-simplenlg,14,3
simplesteph-kafka-connect-github-source,3,3
simplymequeeny-json-string-schema-generator,1,1
sinrimin-netty-socketio-client,12,2
sjbutler-idtk-j,0,0
skayvanfar-cheetah,0,0
skyscreamer-JSONassert,3905,2
slub-urnlib,0,0
smacke-jaydio,2,1
smallnest-fastjson-jaxrs-json-provider,2073,21
smartics-smartics-jboss-modules-maven-plugin,3,3
smartrics-RestFixture,76,6
smartsheet-platform-smartsheet-java-sdk,2605,42
smartystreets-smartystreets-java-sdk,235,3
smitajit-es-rest-mock,3,1
smola-galimatias,1,1
smsapi-smsapi-java-client,0,0
sndyuk-logback-more-appenders,32,5
sofastack-sofa-hessian,200006,8
softlayer-softlayer-java,72,6
solita-functional-utils,173,6
Sonal0409-DevOpsCodeDemo,0,0
SonarSource-sonar-auth-bitbucket,11,2
SonarSource-sonar-auth-github,34,3
sonatype-heuristic-version,16,3
sonian-elasticsearch-jetty,40291,31
soot-oss-heros,14,3
sorra-TraceSonar,0,0
sparkapi-SparkJava,12,7
spdx-Spdx-Java-Library,51,2
spinscale-elasticsearch-graphite-plugin,19968,23
spoofzu-DeepViolet,6,1
SpoonLabs-CoCoSpoon,676,9
SpoonLabs-spooet,53,16
spotify-annoy-java,180,2
spotify-async-datastore-client,6,1
spotify-futures-extra,0,0
spotify-hdfs2cass,9,3
spotify-netty-zmtp,513,3
spotify-simple-bigtable,1,1
spotify-ssh-agent-proxy,20,7
spriet2000-vertx-handlers-http,44020,10
springml-salesforce-wave-api,55,5
SpringStudent-GyJdbc,0,0
spullara-cli-parser,0,0
spyhunter99-installcert,2,2
square-burst,0,0
square-gifencoder,8,4
square-jna-gmp,2,2
square-osstrich,0,0
square-pagerduty-incidents,21,19
sranka-jdbcimage,22,4
srikanth-lingala-zip4j,494,1
sritejakv-splitwise-java,0,0
ssedano-jump-consistent-hash,0,0
stackify-stackify-metrics,27192,7
starkbank-ecdsa-java,0,0
StarlangSoftware-Corpus,0,0
StarlangSoftware-TurkishPropBank,0,0
StarlangSoftware-TurkishSentiNet,0,0
StaticBeagle-ETK4J,0,0
stefanbirkner-fake-sftp-server-rule,543,21
STEMLab-JIneditor,0,0
steveash-jopenfst,4881,1
stevespringett-CPE-Parser,43,3
stevespringett-cvss-calculator,0,0
stevespringett-owasp-risk-rating-calculator,1,1
stevespringett-threatmodel-sdk,0,0
stoicflame-ofx4j,217,5
str4d-ed25519-java,0,0
streamx-co-ExTree,77,1
stripe-interview-java-interview-prep,0,0
studerw-td-ameritrade-client,1254,21
stupid1t-poi-excel,467,4
SumoLogic-sumologic-kinesis-connector,97,10
Supera-Inovacao-Tecnologia-PS-Java,94,7
supercargo-guice-persist-jooq,159,5
SValentyn-Payment-Management-System,0,0
SvenEwald-xmlbeam,1630,16
svenkubiak-jBCrypt,0,0
swagger-api-swaggerhub-maven-plugin,30544,47
Sweetiee-yi-Jaba,1195789,2
swri-robotics-bag-reader-java,0,0
swtcpro-jingtum-lib-java,0,0
sysco-middleware-kafka-client-collector,5,5
szagriichuk-search-api,0,0
tabulapdf-tabula-java,31587,53
tacitknowledge-jcr-mock,50,16
TakahikoKawasaki-nv-i18n,0,0
TakahikoKawasaki-nv-websocket-client,0,0
takari-directory-watcher,10,10
takari-maven-profiler,61,2
takari-takari-local-repository,2003,1
takashi-ishio-selogger,125,5
talios-coffee-maven-plugin,0,0
tarql-tarql,232,15
tauris-io-expression,6,1
taxjar-taxjar-java,69,6
tbuktu-ntru,0,0
tchristofferson-Config-Updater,7884,3
tcurdt-hadoop-lzo-java,15,5
tcurdt-jdeb,325,13
tcurdt-jdependency,7210,3
tdebatty-java-LSH,0,0
tdebatty-java-string-similarity,0,0
tdunning-anomaly-detection,0,0
tdunning-bandit-ranking,0,0
tdunning-open-json,54,4
teaey-apns4j,0,0
tecsinapse-tecsinapse-data-io,3694,13
telefonicaid-netphony-network-protocols,0,0
tencentyun-cos-java-sdk-v4,0,0
tenlee2012-elasticsearch-analysis-demo,34,5
terrestris-shogun-legacy,12,4
tfredrich-DateAdapterJ,0,0
ThangLeQuoc-aqi-calculator,10,2
Thare-Lam-fast-elasticsearch-query-builder,3,3
TheBlackChamber-commons-encryption,2,1
theborakompanioni-thymeleaf-extras-shiro,914,4
TheCookieLab-poloniex-api-java,18,4
thegedge-java-radix-tree,49516,2
TheHolyWaffle-TeamSpeak-3-Java-API,0,0
ThinkingDataAnalytics-java-sdk,0,0
thomasmueller-minperf,100000,1
thomasmueller-tinyStats,0,0
ThoughtWire-hazelcast-locks,1916,7
thrau-jarchivelib,990,6
threedr3am-dubbo-exp,0,0
threefish-nutz-sqltpl,7,1
threerings-react,525,30
ThreeTen-threetenbp,108,27
thundra-io-thundra-lambda-warmup,0,0
thymeleaf-thymeleaf-itutorial,2,2
TiBeN-ia-rcade,0,0
tking-JSTUN,0,0
tkutcher-jgrade,38,2
TNG-property-loader,0,0
tobyweston-Refactoring-Chapter-1,0,0
tommyettinger-BlazingChain,12,4
tommyettinger-RegExodus,0,0
tomsik68-mclauncher-api,0,0
tomwhite-set-game,448,2
TongxiJi-shadowsocks-java,1,1
tonikolaba-BatBat-Game,0,0
tony19-named-regexp,0,0
tonydeng-fmj,0,0
tonysparks-leola,6,1
toolbox4minecraft-amidst,18190,3
toolfactory-narcissus,170,1
topwingo-zeroFlow,0,0
ToryZhou-design-pattern,0,0
traiana-kafka-spiffe-principal,0,0
trekawek-coffee-gb,0,0
trganda-yaml2http,448,1
Trigary-AdvancementCreator,31,2
triologygmbh-reCAPTCHA-V2-java,325,33
tripluo-jrouter,893,7
trystan-AsciiPanel,18364,2
Tsovak-selenium-wrapper-framework,0,0
tud-fop-j-Algo,0,0
tupilabs-tap4j,363,3
tv2norge-collab-java-serf-client,0,0
tvesalainen-bcc,0,0
Twasi-twasi-core,0,0
twitter-joauth,6,2
twitter-netty-http2,12,3
twitter-nodes,674,5
twitter-sbf,95,8
twitter-twitter-korean-text,2,2
typesafehub-netty-http-pipelining,7,2
uber-common-jvm-profiler,225,8
udger-udger-java,0,0
uia4j-uia-sim,18,4
uklimaschewski-JMXWrapper,0,0
ukman-kolobok,0,0
undera-perfmon-agent,0,0
unitsofmeasurement-unit-ri,0,0
unitsofmeasurement-uom-se,47,1
unruly-control,0,0
unruly-java-8-matchers,0,0
uPortal-Project-portlet-utils,0,0
uPortal-Project-WebproxyPortlet,12,1
uprotocol-platform-java,168,8
upyun-java-sdk,46,3
urbanairship-datacube,830289,135
usingsky-KoreanLunarCalendar,0,0
usnistgov-Lineage-Mapper,110,4
uwolfer-gerrit-rest-java-client,455,52
valery1707-kaitai-maven-plugin,597,7
valfirst-jbehave-junit-runner,167,4
vangj-jbayes,20,5
vashishthask-eclipse-to-maven,5,1
vasia-gelly-streaming,4564,29
VaughnVernon-mockroservices-java,0,0
vaulttec-sonar-auth-oidc,30,3
vdurmont-emoji-java,0,0
vdurmont-etaprinter,0,0
vdurmont-semver4j,216,1
venushka-jmxeval,21,7
VerbalExpressions-JavaVerbalExpressions,0,0
verilylifesciences-genomewarp,1162,8
vert-x3-vertx-docgen,5,2
vert-x3-vertx-maven-starter,27,9
vert-x3-vertx-service-factory,21,3
vibur-vibur-object-pool,0,0
victor-porcar-delayed-batch-executor,0,0
victorrentea-clean-code-dive,0,0
vidageek-crawler,16,4
vidstige-jadb,35,2
vincentrussell-java-ini-parser,0,0
vinhkhuc-lbfgs4j,0,0
vinta-pangu.java,0,0
visenze-visearch-sdk-java,9475,8
vitalidze-chromecast-java-api-v2,796,3
vivekragunathan-JINQ,0,0
viz-centric-flair-commons,0,0
vizor-games-infraworld-cornerstone,0,0
vlingo-xoom-auth,237,16
vlingo-xoom-cluster,3,3
vlingo-xoom-streams,3,1
vmware-vrops-export,211,7
vmzakharov-dataframe-ec,205,15
volkodavs-secret-santa,0,0
volodya-lombrozo-hg-revision-plugin,2,1
w3blogfr-zebra-zpl,0,0
walmartlabs-gozer,2816,65
wang007-vertx-start,2,1
warmuuh-libsass-maven-plugin,50,1
wavefrontHQ-wavefront-fdb-tailer,44,1
wavefrontHQ-wftop,24,5
waynedyck-gwt-gantt,0,0
wcnwyx-gm-encryption,0,0
wdtinc-mapbox-vector-tile-java,14,3
wealthfront-thompson-sampling,0,0
weaverj-erserver,0,0
webbynet-protostuff-runtime-proto,69,2
webjars-webjars-locator,366,6
weblyzard-nilsimsa,0,0
webmate-io-webmate-sdk-java,17,3
WebThingsIO-webthing-java,56,2
wechatpay-apiv3-CertificateDownloader,0,0
Wedjaa-JavaAnsibleVault,34,6
weibocom-yar-java,10,5
welk1n-ReverseShell-Java,0,0
wepay-WePay-Java-SDK,0,0
weswilliams-GivWenZen,31,9
whizzosoftware-WZWave,50,5
william-ferguson-au-asymmetric-crypto,2,1
wiqer-ef-redis,0,0
wmixvideo-bradesco-boleto-registro,0,0
wnameless-workbook-accessor,1534,27
wolf-yuan-6115-flowermoon,0,0
woodpecker-appstore-yonyou-nc-decrypter,0,0
Workday-timeseries-forecast,0,0
wso2-config-mapper,118,9
wstrange-GoogleAuth,0,0
wttech-Maven-CRX-Plugin,0,0
wuba-LPA-Detector,2799,16
wxynihao-book118-downloader,268,4
xcbeyond-ConferenceTrackManagement,0,0
Xchuanshuo-LiteNESEmulator,0,0
xcsp3team-XCSP3-Java-Tools,34137,4
xdwangwei-atguigu_ssm_crud,41,3
xebia-Xebium,0,0
xianfengyi-ExprEngine,0,0
xiangbohua-scales-bridge,0,0
xingePush-xinge-api-java,103,2
xjodoin-torpedoquery,37,8
xnnyygn-dynamic-log-level,0,0
xspec-xspec-maven-plugin-1,791,12
xuanbo-dag-executor,18,3
xuminwlt-j360-tools,0,0
XUranus-lightsocks-java,0,0
yagarea-java-chat,0,0
yanceyZhang-wx-chatbot,17,6
yawkat-reflect,0,0
ycdtbs-Face-recognition-login,449,24
yegor256-cactoos,67468,220
yfpeng-pengyifan-leetcode,0,0
yichen0831-OpenCC-Java,0,0
yinlou-mltk,268,4
yomorun-hashids-java,0,0
ysc-word,334516,5
Yubico-yubico-j,0,0
YuboLong-MyLive,0,0
yuqi1129-calcite-test,4,2
yurelle-Base45Encoder,0,0
zafarkhaja-jsemver,2,2
zalandoresearch-zap,2047,18
zalando-stups-java-sproc-wrapper,283,44
zencoder-zencoder-java,0,0
zeroturnaround-maven-jrebel-plugin,0,0
zeroturnaround-zt-process-killer,36,1
zerouwar-Octopus,243,14
Zettelkasten-Team-Zettelkasten,0,0
zhanyeye-DesSim,20,5
zhaolihe-useragent-parser,2941,1
zheng93775-mysql-lock,0,0
zhining-lu-netty-websocket-proxy,18,4
zhixiangli-code-similarity,0,0
ZhongAnTech-dmds,0,0
zhongxunking-sync,0,0
zhoujianling-PointCloudUtilities,79487,4
zhuweitung-banana-helper,18,4
zihluwang-opensource-core,0,0
Zlika-reproducible-build-maven-plugin,54,32
zman2013-scuttlebutt,2,2
ZsBT-mrz-java,0,0
ztelur-consistent-hash-algorithm,0,0
