apache/commons-compress,305,251,FALSE
apache/commons-graph,25,11,FALSE
apache/commons-imaging,396,183,FALSE
apache/commons-jxpath,28,52,FALSE
apache/dubbo-hessian-lite,48,47,FALSE
apache/dubbo-rpc-jsonrpc,191,105,FALSE
apache/flink-benchmarks,150,79,FALSE
apache/maven-clean-plugin,63,44,FALSE
apache/maven-compiler-plugin,182,157,FALSE
apache/maven-deploy-plugin,55,66,FALSE
apache/maven-ear-plugin,10,23,FALSE
apache/maven-help-plugin,20,37,FALSE
apache/maven-install-plugin,29,44,FALSE
apache/maven-jar-plugin,62,76,FALSE
apache/maven-jarsigner-plugin,14,17,FALSE
apache/maven-shade-plugin,150,89,FALSE
apache/maven-shared-utils,27,24,FALSE
apache/maven-site-plugin,42,42,FALSE
apache/maven-source-plugin,26,29,FALSE
apache/maven-verifier-plugin,11,8,FALSE
apache/maven-war-plugin,37,91,FALSE
apache/pdfbox-jbig2,24,18,FALSE
apache/sling-org-apache-sling-dynamic-include,18,26,FALSE
apache/sling-org-apache-sling-feature,11,13,FALSE
apache/sling-org-apache-sling-query,10,4,FALSE
apache/sling-org-apache-sling-scripting-sightly,13,12,FALSE
apache/sling-org-apache-sling-servlets-resolver,7,14,FALSE
apanimesh061/VaderSentimentJava,60,30,FALSE
apereo/cas-server-security-filter,14,14,FALSE
Appdynamics/redis-monitoring-extension,15,10,FALSE
appnexus/ElasticNet4j,10,2,FALSE
AquaticInformatics/aquarius-sdk-java,3,7,FALSE
arangodb/jackson-dataformat-velocypack,13,6,FALSE
arangodb/java-velocypack,17,12,FALSE
archervanderwaal/storm-server,15,3,FALSE
Ardesco/driver-binary-downloader-maven-plugin,94,52,FALSE
Ardesco/Query,12,4,FALSE
arey/spring-batch-toolkit,87,43,FALSE
argoproj-labs/argo-client-java,35,23,FALSE
arnaugarcia/sallefy,11,8,FALSE
asaflevy/SelenuimExtend,14,15,FALSE
Asana/java-asana,35,42,FALSE
asciidoctor/asciidoclet,123,37,FALSE
aseldawy/spatialhadoop2,148,99,FALSE
ashenwgt/awesome-bdd-with-cucumber,19,43,FALSE
ashish-chopra/Structures,104,41,FALSE
AshisRaj/cucelastic-maven-plugin,15,9,FALSE
ashwanthkumar/gocd-janitor,16,10,FALSE
ashwanthkumar/slack-java-webhook,66,19,FALSE
assertthat/selenium-shutterbug,147,45,FALSE
asterisk-java/asterisk-java,400,325,FALSE
ATLANTBH/owl,12,1,FALSE
atorstling/bychan,10,0,FALSE
Atrox/haikunatorjava,30,3,FALSE
atteo/evo-inflector,335,44,FALSE
attoparser/attoparser,47,7,FALSE
augustd/burp-suite-jsonpath,28,8,FALSE
aurbroszniowski/os-platform-finder,14,15,FALSE
aurbroszniowski/Rainfall-core,11,16,FALSE
autermann/yaml,1,2,FALSE
authlete/authlete-java-common,15,13,FALSE
AuthorizeNet/sample-code-java,38,434,FALSE
AuthorizeNet/sdk-java,43,113,FALSE
authorjapps/simulator,1,1,FALSE
avaje-common/avaje-agentloader,13,7,FALSE
AVMf/avmf,14,10,FALSE
AwakenCN/InChat,751,366,FALSE
aws/amazon-neptune-sigv4-signer,14,11,FALSE
aws-cloudformation/cloudformation-template-schema,138,24,FALSE
awslabs/amazon-kinesis-scaling-utils,335,95,FALSE
awslabs/amazon-sns-java-extended-client-lib,23,14,FALSE
awslabs/aws-codepipeline-custom-job-worker,33,26,FALSE
awslabs/aws-glue-catalog-sync-agent-for-hive,29,13,FALSE
awslabs/route53-infima,337,31,FALSE
axelhjalm/bitwig-midi-fighter-twister,23,4,FALSE
azam/ulidj,87,13,FALSE
azige/moebooru-viewer,13,2,FALSE
Azure/azure-functions-java-worker,83,49,FALSE
Azure-Samples/cassandra-proxy,21,12,FALSE
badlogic/basis-template,70,11,FALSE
baidu/smartapp-openapi-java,16,7,FALSE
Bandwidth/java-bandwidth,8,6,FALSE
BarcodeAPI/server,18,5,FALSE
barrer/translate-online,14,3,FALSE
Barteks2x/173generator,20,16,FALSE
basdijkstra/tau-rest-assured,64,68,FALSE
baswerc/routes,12,5,FALSE
bazaarvoice/dropwizard-redirect-bundle,13,5,FALSE
bazaarvoice/jsonpps,22,4,FALSE
bazaarvoice/rison,16,7,FALSE
bdupras/guava-probably,53,6,FALSE
BellaDati/belladati-sdk-java,2,0,FALSE
ben-xo/cdjscrobbler,11,0,FALSE
beothorn/URISchemeHandler,22,5,FALSE
