project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
jericks-parboiled-wkt,OK,337340,1556,337340,1556,1349285,172638,335784,1176647,337332,1549,1159382,60971,335783,1098411
contentful-contentful-management.java,OK,282366,1443,282369,1443,3815722,880578,280926,2935144,282352,1428,3193462,506797,280924,2686665
contentful-contentful.java,OK,251839,3310,251839,3310,1494831,205549,248529,1289282,251712,3284,1281405,60836,248428,1220569
dropwizard-dropwizard-elasticsearch,OK,146494,4503,146499,4504,1175016,228995,141995,946021,146272,4463,1109796,189724,141809,920072
gini-dropwizard-gelf,OK,178465,8717,178465,8717,1063745,289804,169748,773941,178261,8675,997275,237908,169586,759367
openshift-openshift-restclient-java,OK,1166739,4978,1166739,4978,4435074,302619,1161761,4132455,1166612,4932,4226834,174970,1161680,4051864
TNG-property-loader,OK,330482,2470,330482,2470,1121517,52298,328012,1069219,330291,2432,1093372,33693,327859,1059679
jfaster-mango,OK,512636,3800,512636,3800,2210239,248338,508836,1961901,512119,3777,2082609,121204,508342,1961405
vert-x3-vertx-docgen,OK,16882,1215,16882,1215,1847570,1545166,15667,302404,16876,1210,1843520,1542935,15666,300585
mbronshteyn-quarkus-jdbi-project,OK,336459,10682,336460,10683,2197284,940388,325777,1256896,336208,10637,2024750,768060,325571,1256690
duguying-pinyin,OK,275018,31,275018,31,1038852,47959,274987,990893,275016,30,943088,77,274986,943011
apache-maven-compiler-plugin,OK,359149,2592,359149,2592,3219106,476693,356557,2742413,359128,2576,2986365,315832,356552,2670533
abahgat-suffixtree,OK,564358,837,564358,837,2297609,354784,563521,1942825,564354,834,2035591,93644,563520,1941947
wnameless-workbook-accessor,OK,386756,4068,386756,4068,2716258,395487,382688,2320771,386479,4053,2597744,326531,382426,2271213
mdewilde-podcast-parser,OK,92114,997,92116,999,2737904,2581902,91117,156002,92101,985,2579688,2424730,91116,154958
jqassistant-archive-jqa-javaee6-plugin,OK,482360,2258,482360,2258,1888124,64102,480102,1824022,482273,2242,1842876,33433,480031,1809443
apache-maven-site-plugin,OK,123024,1939,123026,1940,1296422,382656,121086,913766,123006,1922,1189273,311257,121084,878016
tcurdt-jdependency,OK,1019528,1174,1019528,1174,4584255,875202,1018354,3709053,1019520,1167,3671100,38048,1018353,3633052
dmeoli-WS4J,OK,962089,909,962089,909,3345371,407526,961180,2937845,962080,901,2847163,15116,961179,2832047
massigerardi-ta4j-strategy-parser,OK,383907,984,383907,984,1507135,96780,382923,1410355,383902,980,1391375,38362,382922,1353013
lukas-vlcek-elasticsearch.demo,OK,147497,7804,147499,7805,1397891,453390,139694,944501,147283,7770,1334725,390519,139513,944206
takashi-ishio-selogger,OK,439852,555,439852,555,1776308,97004,439297,1679304,439842,546,1706453,48104,439296,1658349
apache-sling-org-apache-sling-scripting-sightly,OK,604006,3984,604006,3984,2733268,219750,600022,2513518,603783,3941,2672351,179131,599842,2493220
houbb-word-checker,OK,10532,239,10532,239,2287642,1970155,10293,317487,10526,234,1710524,1679967,10292,30557
tommyettinger-RegExodus,OK,711707,6069,711707,6069,3676079,2195807,705638,1480272,711703,6066,3664895,2185057,705637,1479838
dmak-jaxb-xew-plugin,OK,328727,2999,328727,2999,1161151,77208,325728,1083943,328692,2984,1131501,59118,325708,1072383
berndporr-iirj,OK,514897,143,514897,143,1290127,428,514754,1289699,514896,142,1290124,425,514754,1289699
floppylab-markdown2document,OK,226778,1074,226778,1074,2217384,105279,225704,2112105,226761,1061,2136788,62904,225700,2073884
jtmelton-attack-surface-analyzer,OK,166811,4269,166811,4269,1447521,606555,162542,840966,166800,4259,1384363,569428,162541,814935
xuanbo-dag-executor,OK,781308,162,781682,162,1380256,1019,781520,1379237,781675,156,1380080,901,781519,1379179
indexdata-cql-java,OK,266619,1598,266619,1598,1390604,149429,265021,1241175,266618,1597,1390602,149427,265021,1241175
Harium-keel,OK,4763,702,4763,702,1290853,1268601,4061,22252,4754,695,1290761,1268535,4059,22226
EXIficient-exificient-core,OK,11998,402,11998,402,1707524,1671004,11596,36520,11992,397,1707056,1670718,11595,36338
smallnest-fastjson-jaxrs-json-provider,OK,250071,3353,250071,3353,1681478,220114,246718,1461364,249750,3331,1584455,131229,246419,1453226
uPortal-Project-WebproxyPortlet,OK,273849,2877,273849,2877,1083821,122916,270972,960905,273797,2852,1038161,95410,270945,942751
mmastrac-nanojson,OK,112300,281,112302,282,2684012,1239139,112020,1444873,112295,276,2650100,1218036,112019,1432064
ManuelB-facebook-recommender-demo,OK,645509,162,645509,162,4923221,1143,645347,4922078,645500,155,4923114,1078,645345,4922036
dreezey-argon2-password-hash-provider,OK,410,137,410,137,1473303,1472573,273,730,398,128,1336,743,270,593
davidmoten-rxjava-jdbc,OK,310228,1922,310228,1922,1153729,58142,308306,1095587,310116,1904,1126683,40242,308212,1086441
tripluo-jrouter,OK,422486,2801,422525,2809,1934964,113245,419716,1821719,422388,2788,1831333,57246,419600,1774087
ECharts-Java-ECharts-Java,OK,57630,1709,57630,1709,1880675,630527,55921,1250148,57624,1704,1793727,586160,55920,1207567
alanhay-html-exporter,OK,626681,5864,626796,5886,2920445,312213,620910,2608232,626564,5855,2798350,234302,620709,2564048
jillesvangurp-osm2geojson,OK,651787,742,651787,742,4411534,1047954,651045,3363580,651772,730,4142750,902779,651042,3239971
keith0591-pgp-encryption,OK,8697,275,8697,275,4615184,2654194,8422,1960990,8686,265,3873530,1915580,8421,1957950
rsatrio-Keycloak-Federation-ExistingDB,OK,714838,6504,714838,6504,3491627,428838,708334,3062789,714810,6491,3435615,392453,708319,3043162
Tsovak-selenium-wrapper-framework,OK,8002,520,8006,523,2806452,12708,7483,2793744,7978,508,2801646,10304,7470,2791342
aled-jsi,OK,581999,1295,581999,1295,3255820,429222,580704,2826598,581989,1286,2939729,113344,580703,2826385
flowscolors-kube-eventer4j,OK,191419,3874,191456,3883,1942485,134528,187573,1807957,190609,3854,1882613,96767,186755,1785846
ppke-nlpg-purepos,OK,625253,629,625253,629,1845299,606204,624624,1239095,625246,623,1841373,604194,624623,1237179
RIGS-IT-sonar-xanitizer,OK,194585,526,194585,526,2675991,247121,194059,2428870,194575,518,2546724,178654,194057,2368070
Pablissimo-SonarTsPlugin,OK,395572,3009,395572,3009,1416836,150149,392563,1266687,395517,2978,1378179,124075,392539,1254104
dikhan-pagerduty-client,OK,283295,5033,283505,5035,2207612,551769,278470,1655843,283133,5013,2003367,381860,278120,1621507
ferstl-spring-jdbc-oracle,OK,617935,2702,618014,2712,2442616,126756,615302,2315860,617978,2690,2384633,88915,615288,2295718
sbesada-java.math.numerical.library,OK,1297684,407,1297684,407,3733696,13955,1297277,3719741,1297684,407,3733696,13955,1297277,3719741
NLP2RDF-NIF-lib,OK,110248,3502,110250,3504,2055282,1066739,106746,988543,110226,3484,1861642,880716,106742,980926
Barteks2x-173generator,OK,214113,85,214113,85,1987978,655451,214028,1332527,214106,79,928763,54416,214027,874347
javamonkey-beetl2.0,OK,355139,3630,355139,3630,1795999,250499,351509,1545500,355125,3619,1660395,168139,351506,1492256
ferstl-pedantic-pom-enforcers,OK,377209,2716,377209,2716,1355849,79250,374493,1276599,377180,2690,1323609,58032,374490,1265577
amazon-archives-aws-ssm-java-caching-client,OK,530742,1928,530802,1951,2037465,234415,528851,1803050,530783,1934,1999452,209867,528849,1789585
indrabasak-bouncycastle-fips-examples,OK,87757,2015,87757,2015,1104428,736689,85742,367739,87746,2005,1006421,671996,85741,334425
smola-galimatias,OK,422933,1770,422933,1770,2748333,174047,421163,2574286,422922,1760,2615423,41217,421162,2574206
dpaukov-combinatoricslib,OK,708660,715,708660,715,1940503,289621,707945,1650882,708657,712,1939776,288894,707945,1650882
phax-ph-events,OK,3723,204,3723,204,1510452,1401353,3519,109099,3714,196,1309183,1300675,3518,8508
apache-sling-org-apache-sling-servlets-resolver,OK,692935,4309,692935,4309,3255483,279054,688626,2976429,689711,4277,3004702,127495,685434,2877207
mattdavey-EuronextClone,OK,35235,2152,35235,2152,3071220,140730,33083,2930490,35221,2139,3053410,130316,33082,2923094
mulesoft-catalyst-mule-sonarqube-plugin,OK,80635,1408,80709,1417,1059149,310630,79292,748519,80696,1406,1027770,282184,79290,745586
janssk1-maven-graph-plugin,OK,168000,953,168000,953,1445845,224276,167047,1221569,167934,939,1276284,98340,166995,1177944
Heroicai0101-abtest,OK,1040124,48,1040124,48,2402440,1033,1040076,2401407,1040121,46,2402330,972,1040075,2401358
f4b6a3-ulid-creator,OK,164289,23,164289,23,1900288,1322044,164266,578244,164286,20,578286,42,164266,578244
alexcojocaru-elasticsearch-maven-plugin,OK,299307,2066,299311,2067,1038341,112058,297244,926283,299277,2038,993726,85297,297239,908429
dropwizard-dropwizard-health,OK,573250,7514,573280,7514,3129615,349725,565766,2779890,572851,7462,2985542,252211,565389,2733331
stupid1t-poi-excel,OK,86039,3817,86041,3818,4941561,877515,82223,4064046,85676,3807,4867576,833684,81869,4033892
qoomon-banking-swift-messages-java,OK,1324209,2234,1324209,2234,4573908,157475,1321975,4416433,1324187,2213,4496894,106820,1321974,4390074
googleapis-java-pubsub-group-kafka-connector,OK,198919,3763,198919,3763,1472008,820558,195156,651450,198723,3736,1444528,803158,194987,641370
c-rack-cbor-java,OK,801664,275,801664,275,2806819,2635,801389,2804184,801660,272,2806572,2500,801388,2804072
intuit-graphql-filter-java,OK,568786,1624,568786,1624,1578071,119755,567162,1458316,557789,1595,1484223,65273,556194,1418950
Mastercard-oauth1-signer-java,OK,201070,209,201070,209,3317768,2758,200861,3315010,201051,193,3316689,2066,200858,3314623
Ardesco-Query,OK,877901,2247,877901,2247,3811078,115307,875654,3695771,877879,2226,3753055,78136,875653,3674919
venushka-jmxeval,OK,341447,2636,341527,2643,1198851,65214,338884,1133637,341474,2612,1165827,43444,338862,1122383
j256-simplemagic,OK,326536,1732,326536,1732,11541372,94222,324804,11447150,326523,1721,11530355,88664,324802,11441691
pagehelper-Mybatis-PageHelper,OK,386469,4738,386470,4739,45768202,1304867,381731,44463335,386382,4718,45653899,1191260,381664,44462639
kohsuke-wordnet-random-name,OK,2971623,6,2971623,6,11892482,1488829,2971617,10403653,2971622,5,10406689,3036,2971617,10403653
yurelle-Base45Encoder,OK,21656,10042,21656,10042,37563320,37515357,11614,47963,21656,10042,37563320,37515357,11614,47963
palindromicity-simple-syslog,OK,11170071,2411,11170071,2411,30779405,1065006,11167660,29714399,11170066,2407,30743307,1046090,11167659,29697217
NLPchina-ansj_seg,OK,5303587,10553,5303587,10553,40874005,27977806,5293034,12896199,5303574,10544,22948040,12092240,5293030,10855800
Ant-Grand-Grand,OK,3041044,1521,3041044,1521,16538818,1318207,3039523,15220611,3041032,1511,14959047,184580,3039521,14774467
killbilling-recurly-java-library,OK,2276093,3321,2276093,3321,24801098,1370461,2272772,23430637,2262744,3311,22792420,292343,2259433,22500077
6tail-tyme4j,OK,28020,4102,28020,4102,12030788,11819644,23918,211144,28017,4100,12030760,11819628,23917,211132
sonatype-heuristic-version,OK,5156862,3909,5156862,3909,25290820,1625330,5152953,23665490,5156852,3901,22708330,288902,5152951,22419428
steveash-jopenfst,OK,129824,4813,129824,4813,14621050,12214349,125011,2406701,129815,4805,14588278,12182153,125010,2406125
aelstad-keccakj,OK,10370649,122,10370649,122,26535352,528352,10370527,26007000,10370643,117,26445063,438072,10370526,26006991
jhunters-jprotobuf,OK,77354,11503,77354,11503,36859767,33493741,65851,3366026,77339,11489,36815576,33457283,65850,3358293
nothingax-micro-DB,OK,2117700,1051,2117700,1051,20169017,841419,2116649,19327598,2117695,1047,19738590,607634,2116648,19130956
thegedge-java-radix-tree,OK,2349890,3168,2349890,3168,30638782,1092036,2346722,29546746,2349883,3163,30025606,785444,2346720,29240162
thomasmueller-minperf,OK,6734109,419,6734109,419,65572250,39455179,6733690,26117071,6734102,414,61108501,36308992,6733688,24799509
spdx-Spdx-Java-Library,OK,1442936,63327,1442936,63327,41917496,30409601,1379609,11507895,1442922,63315,40720588,29798244,1379607,10922344
apache-commons-codec,OK,3797696,20052,3797696,20052,25192442,7316316,3777644,17876126,3797652,20043,23875668,6153972,3777609,17721696
thomasmueller-tinyStats,OK,4071855,867,4071855,867,61086114,19677763,4070988,41408351,4071850,863,58479039,17071010,4070987,41408029
kungfoo-geohash-java,OK,2491811,223761,2491811,223761,25338666,11867581,2268050,13471085,2491809,223759,25276205,11805120,2268050,13471085
peterbencze-serritor,OK,216262,12755,216262,12755,10469967,9314566,203507,1155401,216244,12745,10454334,9303943,203499,1150391
Fundynamic-dune2themaker4j,OK,1596202,4522,1596202,4522,12226806,1662382,1591680,10564424,1596158,4483,9199249,130280,1591675,9068969
open-eid-cdoc4j,OK,99356,733,99356,733,32636949,32286618,98623,350331,99342,720,346436,12557,98622,333879
printingin3d-javascad,OK,5255692,7229,5255692,7229,34153729,3338321,5248463,30815408,5253796,7212,34136356,3327534,5246584,30808822
JetBrains-jetCheck,OK,7921761,1712,7921761,1712,25608545,651711,7920049,24956834,7921755,1707,25346728,463787,7920048,24882941
bingoohuang-excel2javabeans,OK,238447,12072,238447,12072,36248569,34562147,226375,1686422,233476,12053,35868713,34341404,221423,1527309
jenkinsci-custom-distribution-service,OK,2865181,8158,2865285,8165,44071941,1294916,2857120,42777025,2863084,8121,42722473,596021,2854963,42126452
mduerig-json-jerk,OK,756387,1774,756387,1774,30156319,107502,754613,30048817,756384,1772,30148095,103388,754612,30044707
f4b6a3-tsid-creator,OK,657893,162,657893,162,18556718,13590957,657731,4965761,657888,158,1883454,118180,657730,1765274
yegor256-cactoos,OK,339144,1702,339144,1702,18524687,17252665,337442,1272022,339131,1691,18522969,17251438,337440,1271531
theborakompanioni-thymeleaf-extras-shiro,OK,49803,4537,49803,4537,10588587,5672778,45266,4915809,49631,4524,10568210,5656330,45107,4911880
amazon-ion-ion-docs,OK,2770359,2074,2770359,2074,12104127,613744,2768285,11490383,2770354,2070,11114140,108726,2768284,11005414
StarlangSoftware-Corpus,OK,421992,366,421992,366,18373295,6248880,421626,12124415,421989,364,8452845,1288654,421625,7164191
MRPanyu-excel-imp-exp,OK,217726,6580,217726,6580,11187269,8961828,211146,2225441,207440,6558,10592566,8661691,200882,1930875
robert-bor-aho-corasick,OK,97068,397,97068,397,20366933,13998219,96671,6368714,97060,391,20364664,13996932,96669,6367732
zhaolihe-useragent-parser,OK,79001,5131,79001,5131,21830575,12366095,73870,9464480,78993,5124,21630483,12185305,73869,9445178
paypal-Gibberish-Detector-Java,OK,716145,8323,716145,8323,50864133,3981296,707822,46882837,716142,8321,50864019,3981237,707821,46882782
CodeShield-Security-Log4JShell-Bytecode-Detector,OK,198856,5521,198856,5521,57914291,19814415,193335,38099876,198851,5517,57891858,19791988,193334,38099870
tdebatty-java-string-similarity,OK,339,105,339,105,10434205,5217101,234,5217104,334,101,867616,433771,233,433845
apache-commons-jxpath,OK,381095,1425,381095,1425,23481315,22685000,379670,796315,381081,1412,23339182,22596581,379669,742601
alfasoftware-soapstone,OK,1573617,8527,1573617,8527,11308446,1383935,1565090,9924511,1571849,8496,10621481,808164,1563353,9813317
leonhad-paradoxdriver,OK,4564491,2230,4564491,2230,42412543,5651467,4562261,36761076,4564480,2220,37008616,247876,4562260,36760740
ruddell-jhipster-chat-example,OK,1008627,11654,1008627,11654,63358470,60105108,996973,3253362,1008522,11619,63235368,60015976,996903,3219392
apache-maven-war-plugin,OK,964035,1320,964036,1319,10495734,1309809,962717,9185925,963920,1307,9680673,745636,962613,8935037
kolchagov-java-crud-api,OK,1022245,2748,1022245,2748,13059427,3501701,1019497,9557726,1022241,2745,13056819,3500104,1019496,9556715
JavaMoney-jsr354-ri-bp,OK,6153534,568,6153534,568,19769056,1492237,6152966,18276819,6153524,558,18285324,8505,6152966,18276819
aurbroszniowski-Rainfall-core,OK,100763,77,100763,77,24948167,12298466,100686,12649701,100758,73,753058,200903,100685,552155
MutabilityDetector-MutabilityDetector,OK,350199,5667,350199,5667,15101945,9303688,344532,5798257,349793,5650,1652113,246303,344143,1405810
HdrHistogram-HdrHistogram,OK,1757633,4060,1757633,4060,49304817,13091339,1753573,36213478,1757629,4056,49304602,13091124,1753573,36213478
apache-maven-shade-plugin,OK,2240328,13732,2240330,13733,48189134,33930679,2226597,14258455,2240295,13712,48047578,33823148,2226583,14224430
cowtowncoder-java-cachemate,OK,4000060,20,4000060,20,15000782,500367,4000040,14500415,4000058,19,14000394,173,4000039,14000221
yomorun-hashids-java,OK,11001073,42,11001073,42,30506381,2000495,11001031,28505886,11001073,42,30506381,2000495,11001031,28505886
bonnyfone-vectalign,OK,4067789,16208,4067789,16208,26952214,5986066,4051581,20966148,4067787,16206,26471253,5505105,4051581,20966148
jahlborn-jackcessencrypt,OK,161964,13716,161964,13716,19370159,13009222,148248,6360937,161949,13703,18475337,12132610,148246,6342727
cternes-openkeepass,OK,561922,19737,561922,19737,27875930,25128589,542185,2747341,561910,19727,27649498,25014001,542183,2635497
jjohannes-gradle-module-metadata-maven-plugin,OK,209940,18911,209940,18911,90860857,90077750,191029,783107,209926,18899,90750880,90002033,191027,748847
tdebatty-java-LSH,OK,9014,590,9014,590,20031016,7424047,8424,12606969,9008,585,12521978,2416003,8423,10105975
imagej-example-script-collection,OK,4739886,2637,4739886,2637,11866007,468910,4737249,11397097,4739860,2619,11671497,349337,4737241,11322160
matthiaszimmermann-ethereum-paper-wallet,OK,15719,879,15719,879,29157649,29030378,14840,127271,15710,871,146479,23527,14839,122952
sangupta-murmur,OK,105,60,105,60,50054552,47607877,45,2446675,104,59,50054551,47607876,45,2446675
CurrencyCloud-currencycloud-java,OK,1396946,12982,1396946,12982,17758944,2517821,1383964,15241123,1393980,12949,17130090,2045202,1381031,15084888
OWASP-json-sanitizer,OK,61977,12565,61977,12565,3967692,3681071,49412,286621,61971,12560,3966417,3679893,49411,286524
iipc-webarchive-commons,OK,500176,10055,500176,10055,40353403,10936098,490121,29417305,500155,10037,40257376,10844372,490118,29413004
zhongxunking-sync,OK,96954,24278,96954,24278,23900390,23392803,72676,507587,96947,24273,23779637,23296655,72674,482982
icon-Systemhaus-GmbH-javassist-maven-plugin,OK,137910,7591,137910,7591,19192626,18720363,130319,472263,137899,7581,19144686,18683823,130318,460863
zalandoresearch-zap,OK,2024512,8452,2024512,8452,40315005,20390647,2016060,19924358,2024333,8432,11983646,6214998,2015901,5768648
getodk-javarosa,OK,7172828,10062,7172828,10062,58061889,2120283,7162766,55941606,7172810,10045,57492823,1599915,7162765,55892908
OnlineCodex-OnlineCodex,OK,457760,40777,457760,40777,94120954,38060530,416983,56060424,457750,40768,94002071,37996626,416982,56005445
tomwhite-set-game,OK,2149539,36785,2149539,36785,30728357,5834719,2112754,24893638,2149530,36777,30071805,5178505,2112753,24893300
mlieshoff-jcrapi,OK,1297471,3440,1297471,3440,20330118,16019577,1294031,4310541,1297456,3426,20134660,15908359,1294030,4226301
serg472-htmlcompressor,OK,771885,7901,771885,7901,59492745,9563210,763984,49929535,771868,7888,59228783,9396610,763980,49832173
Francesco149-koohii,OK,21359,4783,21359,4783,13268181,6446946,16576,6821235,21358,4782,13266391,6445156,16576,6821235
andylamp-BPlusTree,OK,7340766,1167,7340766,1167,56708980,224543,7339599,56484437,7340764,1165,56708951,224514,7339599,56484437
kazuhikoarase-jaconv,OK,151,34,151,34,1477,662,117,815,148,32,494,170,116,324
flipkart-incubator-databuilderframework,OK,52175545,1419,52175545,1419,162873344,16578489,52174126,146294855,51687365,1404,146117170,311457,51685961,145805713
hevoio-recoverable-kafka-producer,OK,317,186,317,186,2148,1453,131,695,308,180,1614,1039,128,575
mixer-beam-client-java,OK,226,110,226,110,2214,1163,116,1051,217,102,1597,787,115,810
moznion-java-random-string,OK,586,66,586,66,1644,423,520,1221,583,64,1632,415,519,1217
intel-jndn-mock,OK,1392,123,1392,123,4255,421,1269,3834,1388,120,4104,341,1268,3763
trganda-yaml2http,OK,16302,1664,16302,1664,311203,221433,14638,89770,16242,1655,292679,205117,14587,87562
tacitknowledge-jcr-mock,OK,2708,191,2708,191,9730,1093,2517,8637,2704,188,9063,753,2516,8310
Nilhcem-FakeSMTP,OK,715,243,716,244,6511,4103,472,2408,705,234,6136,3898,471,2238
danielwegener-logback-kafka-appender,OK,62814,1965,62814,1965,433214,67494,60849,365720,62556,1947,422489,60847,60609,361642
amazon-archives-aws-dynamodb-stream-eventbridge-fanout,OK,212546,2059,212669,2081,717009,52553,210588,664456,212634,2060,698359,40656,210574,657703
tud-fop-j-Algo,OK,762,45,762,45,1511,155,717,1356,761,44,1510,154,717,1356
habernal-confusion-matrix,OK,7756,744,7756,744,504495,315791,7012,188704,7750,741,471238,298061,7009,173177
google-escapevelocity,OK,52512,1223,52512,1223,455274,113333,51289,341941,52051,1212,322790,25013,50839,297777
philihp-weblabora,OK,35115,839,35115,839,583917,27934,34276,555983,35108,833,575287,19905,34275,555382
scijava-scripting-clojure,OK,266888,951,266888,951,992600,119504,265937,873096,266875,939,903022,46970,265936,856052
awslabs-aws-codepipeline-custom-job-worker,OK,165521,2986,165623,3018,744770,122296,162605,622474,165570,2997,699418,97067,162573,602351
kwart-demo-kerberos-in-java,OK,715,155,715,155,2744,938,560,1806,705,147,2466,700,558,1766
AuthorizeNet-sample-code-java,OK,25996,655,26073,665,200211,81290,25408,118921,26057,651,161569,60744,25406,100825
eclipse-jbom,OK,74459,1399,74459,1399,456630,139819,73060,316811,74364,1389,349118,39176,72975,309942
xjodoin-torpedoquery,OK,89335,1609,89335,1609,469041,39253,87726,429788,89322,1597,446296,25934,87725,420362
fordfrog-ruian2pgsql,OK,422,157,422,157,2476,1049,265,1427,422,157,2476,1049,265,1427
ztelur-consistent-hash-algorithm,OK,6991,26,6991,26,637266,605358,6965,31908,6986,23,626624,601676,6963,24948
fsantiag-sonar-clojure,OK,45329,1626,45329,1626,202311,18486,43703,183825,45309,1612,197548,15344,43697,182204
RKumsher-utils,OK,444,133,444,133,8896,8090,311,806,441,130,8863,8057,311,806
sgoertzen-sonar-break-maven-plugin,OK,1014,241,1014,241,7445,2719,773,4726,1003,235,6469,2150,768,4319
roskart-dropwizard-jaxws,OK,38889,1848,38889,1848,265879,37182,37041,228697,38731,1814,228672,16681,36917,211991
pmlopes-aws-lambda-native-vertx,OK,1852,169,1852,169,7357,3251,1683,4106,1843,161,6737,2920,1682,3817
wxynihao-book118-downloader,OK,23886,670,23886,670,209941,74712,23216,135229,23375,662,176703,59316,22713,117387
mikera-randomz,OK,118,104,118,104,5013,4999,14,14,115,102,4969,4956,13,13
jprante-elasticsearch-csv,OK,35125,3383,35170,3393,524785,280734,31777,244051,35128,3367,501868,267190,31761,234678
rpau-javalang,OK,67945,1686,67945,1686,535463,99315,66259,436148,67939,1681,535291,99145,66258,436146
spotify-hdfs2cass,OK,687,137,687,137,4178,2064,550,2114,678,130,1685,650,548,1035
palatable-shoki,OK,48055,390,48055,390,551567,227138,47665,324429,48044,381,550104,225703,47663,324401
cjmatta-kafka-connect-irc,OK,143,49,143,49,1770,820,94,950,137,44,1614,736,93,878
sndyuk-logback-more-appenders,OK,14995,2176,15049,2194,538174,369262,12855,168912,14980,2176,524446,361841,12804,162605
cloudbees-oss-zendesk-java-client,OK,73481,3407,73481,3407,455823,147582,70074,308241,73289,3382,407549,121008,69907,286541
levigo-jbig2-imageio,OK,16000,399,16000,399,538428,182407,15601,356021,15996,396,535990,180802,15600,355188
ixa-ehu-ixa-pipe-tok,OK,248,46,248,46,1452,458,202,994,244,43,1024,240,201,784
Gikkman-Java-Twirk,OK,909,164,909,164,5428,2236,745,3192,902,158,4548,1786,744,2762
lfkdsk-bnf-ast,OK,639,115,639,115,1842,420,524,1422,633,110,1740,342,523,1398
jvirtanen-config-extras,OK,927,91,927,91,3833,562,836,3271,921,86,3761,514,835,3247
Guo-xm-mybatis-expand,OK,54459,189,54459,189,467914,2753,54270,465161,54451,182,467308,2260,54269,465048
huiwang-cracking-the-coding-interview,OK,971,192,971,192,3726,1704,779,2022,967,189,3504,1535,778,1969
wso2-config-mapper,OK,56332,2241,56332,2241,329227,94074,54091,235153,56211,2214,296711,75933,53997,220778
semuxproject-evm,OK,178322,2842,178324,2844,970384,295239,175480,675145,178095,2817,843759,180856,175278,662903
vincentrussell-java-ini-parser,OK,515,135,515,135,3035,1601,380,1434,478,126,1437,806,352,631
JCVenterInstitute-VIGOR4,OK,35926,1975,35985,1988,381562,67939,33997,313623,35806,1964,362209,55291,33842,306918
jchambers-jeospatial,OK,442,101,442,101,3095,767,341,2328,436,96,3050,728,340,2322
zeroturnaround-maven-jrebel-plugin,OK,139,46,139,46,1439,731,93,708,134,42,716,364,92,352
magdel-MapNav,OK,45,10,45,10,3936,3890,35,46,40,6,44,8,34,36
d-plaindoux-suitcase,OK,1458,81,1458,81,3253,385,1377,2868,1453,77,3210,349,1376,2861
hoijui-ReZipDoc,OK,1031,176,1031,176,4709,1283,855,3426,1027,173,4643,1231,854,3412
gatanaso-multiselect-combo-box-flow,OK,1296,89,1296,89,5825,1208,1207,4617,1290,84,4414,382,1206,4032
badlogic-basis-template,OK,2869,287,2869,287,8218,2620,2582,5598,2859,278,7016,1940,2581,5076
lightningMan-flash-netty,OK,697,185,697,185,3085,1026,512,2059,687,176,2516,689,511,1827
kabutz-striped-executor-service,OK,1265,56,1265,56,7611,493,1209,7118,1261,53,7397,377,1208,7020
gabrie-allaigre-sonar-gitlab-plugin,OK,72567,1774,72567,1774,488778,152826,70793,335952,72535,1750,390209,86598,70785,303611
mirabeau-nl-ceddl4j,OK,25728,936,25728,936,257212,56462,24792,200750,25272,929,228393,41975,24343,186418
tdunning-open-json,OK,133340,459,133342,460,342140,5979,132882,336161,133334,454,340986,5326,132880,335660
java-sepa-xml-java-sepa-xml,OK,472,67,472,67,4295,885,405,3410,469,65,4165,818,404,3347
msarhan-ummalqura-calendar,OK,12,8,12,8,3662,2902,4,760,9,6,2146,2143,3,3
wdtinc-mapbox-vector-tile-java,OK,59380,1544,59380,1544,421305,162069,57836,259236,59369,1535,372824,129811,57834,243013
elasticpath-json-unmarshaller,OK,144520,1340,144520,1340,644844,49866,143180,594978,144508,1329,631906,39910,143179,591996
fanchaoo-forum,OK,43702,2224,43782,2228,341570,56463,41554,285107,43574,2211,311117,38402,41363,272715
6tail-lunar-java,OK,134061,672,134061,672,758828,64259,133389,694569,134058,670,656441,13048,133388,643393
damienclaveau-kafka-graphite,OK,593,241,604,247,2648,1612,357,1036,596,240,1693,871,356,822
jqassistant-archive-jqa-graphml-plugin,OK,97163,1450,97163,1450,343464,18151,95713,325313,97135,1431,335179,12679,95704,322500
dampcake-bencode,OK,552,134,552,134,2268,686,418,1582,547,130,2145,607,417,1538
bouncestorage-chaos-http-proxy,OK,143242,1117,143242,1117,504586,34753,142125,469833,143228,1104,500926,31770,142124,469156
monitorjbl-excel-streaming-reader,OK,31615,1703,31615,1703,397588,265700,29912,131888,31248,1689,331920,227599,29559,104321
lyg5623-lightgbm_predict4j,OK,100365,243,100365,243,924565,566035,100122,358530,100355,234,851044,529259,100121,321785
volodya-lombrozo-hg-revision-plugin,OK,228,120,228,120,1206,691,108,515,221,114,1124,629,107,495
nutzam-nutzwx,OK,22968,949,22968,949,366328,60340,22019,305988,22953,937,359356,54909,22016,304447
arnaugarcia-sallefy,OK,1322332,15488,1322332,15488,110646042,105403734,1306844,5242308,1320921,15448,110475954,105284182,1305473,5191772
ben-xo-cdjscrobbler,OK,145010,1426,145010,1426,498423,26391,143584,472032,144989,1406,485917,18140,143583,467777
