project,collection status,# traces,# unique traces,# traces based on unique file,# unique traces based on unique file,# events,# unique events,duplicated traces,duplicated events,(without raw) # traces based on unique file,(without raw) # unique traces based on unique file,(without raw) # events,(without raw) # unique events,(without raw) duplicated traces,(without raw) duplicated events
linux-china-rocker-template-demo,OK,79,56,79,56,307,209,23,98,72,50,261,175,22,86
marwin1991-keep-changelog-maven-plugin,OK,116,40,116,40,529,199,76,330,112,37,474,161,75,313
lightoze-gwt-i18n-server,OK,4315,531,4315,531,64729,49702,3784,15027,4306,523,63155,48793,3783,14362
alex2chen-j-statemachine,OK,2,2,2,2,3,3,0,0,0,0,0,0,0,0
Mixermachine-base-test,OK,32667,126,32667,126,84440,1800,32541,82640,32591,119,82329,746,32472,81583
Labs64-swid-generator,OK,125,44,125,44,427,141,81,286,123,42,422,136,81,286
seansegal-tincisnotcatan,OK,16646,418,16646,418,108429,20426,16228,88003,16639,413,81614,6996,16226,74618
hivsuper-document-converter,OK,5,5,5,5,23,23,0,0,5,5,23,23,0,0
apache-commons-cli,OK,12491,829,12493,829,59034,10912,11664,48122,12486,823,52752,7729,11663,45023
Ardesco-driver-binary-downloader-maven-plugin,OK,9872,1397,9872,1397,122440,80686,8475,41754,9852,1379,97457,66953,8473,30504
sgoeschl-freemarker-cli,OK,308891,5105,308891,5105,7227802,1706634,303786,5521168,308699,5082,6387010,905079,303617,5481931
google-guava-beta-checker,OK,24889,246,24889,246,98685,4519,24643,94166,24882,240,98017,3975,24642,94042
iyzico-iyzipay-java,OK,73,27,73,27,367,171,46,196,70,25,323,136,45,187
walmartlabs-gozer,OK,12587,1464,12587,1464,63470,17182,11123,46288,12575,1453,60836,14978,11122,45858
bluemix-NumberToArabicWords,OK,149,33,149,33,677,262,116,415,147,32,629,238,115,391
krpors-delver,OK,34,18,34,18,172,65,16,107,31,16,169,63,15,106
cloudbees-diff4j,OK,13662,555,13662,555,75790,15099,13107,60691,13659,552,75238,14547,13107,60691
FasterXML-jackson-annotations,OK,16,14,16,14,105,101,2,4,13,11,53,49,2,4
jonathanhds-sql-builder,OK,100561,282,100561,282,145908,38660,100279,107248,100554,276,112549,5616,100278,106933
chenhaiyangs-mybatis-encrypt-plugin,OK,54,36,54,36,208,156,18,52,48,31,154,124,17,30
MarkShen1992-Mashibing_High_Concurrency,OK,12,10,12,10,53,46,2,7,12,10,53,46,2,7
argoproj-labs-argo-client-java,OK,2,1,2,1,2,1,1,1,0,0,0,0,0,0
xuminwlt-j360-tools,OK,11,10,11,10,42,32,1,10,8,8,21,21,0,0
davidB-scala-maven-plugin,OK,117,23,117,23,272,54,94,218,111,20,256,47,91,209
ddopson-java-class-enumerator,OK,26,14,26,14,71,33,12,38,25,13,70,32,12,38
npathai-hamcrest-optional,OK,39,11,39,11,257,134,28,123,39,11,257,134,28,123
jetty-project-jetty-eventsource-servlet,OK,13961,604,13961,604,50393,6194,13357,44199,13947,592,49317,5503,13355,43814
javadev-sqltojava,OK,10625,359,10625,359,96335,61200,10266,35135,10615,351,66357,40269,10264,26088
GoogleCloudPlatform-app-maven-plugin,OK,1254732,3654,1254732,3654,5298015,177692,1251078,5120323,1254641,3606,5205282,117044,1251035,5088238
noophq-subtitle,OK,25959,31,25959,31,65027,770,25928,64257,25956,29,63647,72,25927,63575
lerndevops-samplejavaapp,OK,114,48,114,48,943,527,66,416,111,45,919,503,66,416
TiBeN-ia-rcade,OK,3632,281,3632,281,143961,47342,3351,96619,3627,277,124036,36931,3350,87105
xdwangwei-atguigu_ssm_crud,OK,13145,1170,13188,1189,75932,13317,11999,62615,13125,1175,66959,8279,11950,58680
beothorn-URISchemeHandler,OK,56,3,56,3,139,7,53,132,56,3,139,7,53,132
keikai-dev-ref,OK,9182,829,9182,829,53711,15472,8353,38239,9065,809,46329,11632,8256,34697
vangj-jbayes,OK,1583876,1340,1583876,1340,7695028,240307,1582536,7454721,1583859,1330,7555473,169463,1582529,7386010
javadelight-delight-fileupload,OK,54,17,54,17,191,83,37,108,49,13,109,29,36,80
radkovo-Pdf2Dom,OK,732578,5558,732578,5558,9637163,3320673,727020,6316490,732480,5534,9247998,3066359,726946,6181639
carlosbritojun-jflunt,OK,128,6,128,6,211,11,122,200,128,6,211,11,122,200
wavefrontHQ-wavefront-fdb-tailer,OK,4087,596,4087,596,90963,31824,3491,59139,4074,586,88346,29919,3488,58427
vinta-pangu.java,OK,28,10,28,10,48,18,18,30,27,9,47,17,18,30
Asana-java-asana,OK,16346,509,16346,509,85966,9782,15837,76184,15979,493,80221,6726,15486,73495
chenjianjx-wsdl2html,OK,14,9,14,9,45,34,5,11,12,8,43,33,4,10
casid-jusecase,OK,63,19,63,19,176,51,44,125,60,17,161,43,43,118
spyhunter99-installcert,OK,61,28,61,28,210,88,33,122,56,24,192,71,32,121
camunda-camunda-xml-model,OK,48333,975,48333,975,183401,10814,47358,172587,48325,968,177284,6259,47357,171025
openskynetwork-java-adsb,OK,15,10,15,10,47,34,5,13,11,7,22,12,4,10
amihaiemil-docker-java-api,OK,5001,435,5001,435,90371,64952,4566,25419,4984,422,70905,55027,4562,15878
cimiano-tbx2rdf,OK,42590,548,42590,548,157097,28884,42042,128213,42580,539,124181,9346,42041,114835
opendatalab-de-geojson-jackson,OK,9922,662,9922,662,65944,13629,9260,52315,9801,656,59002,9989,9145,49013
linux-china-toolchains-maven-plugin,OK,3426,258,3426,258,116825,70729,3168,46096,3417,250,95526,58896,3167,36630
rovats-java-utils,OK,34,15,34,15,162,122,19,40,34,15,162,122,19,40
JanGorman-jersey-passbook,OK,27,21,27,21,173,153,6,20,24,19,155,141,5,14
Kuangcp-NettyBook2,OK,4000014,16,4000014,16,9000034,1000040,3999998,7999994,4000012,14,8000032,38,3999998,7999994
LiveRamp-HyperMinHash-java,OK,33218922,75,33218922,75,215131165,83800805,33218847,131330360,33218916,70,131328471,334,33218846,131328137
iipc-urlcanon,OK,13658,463,13658,463,94412,21417,13195,72995,13649,455,82589,9662,13194,72927
crispab-javabuilderpattern,OK,28,20,28,20,93,67,8,26,25,18,69,52,7,17
eurekaclinical-javautil,OK,82,24,82,24,185,99,58,86,77,20,115,39,57,76
kifj-jboss-syslog,OK,88,18,88,18,485,100,70,385,83,14,428,63,69,365
prpatel-serverless-java-mini-workshop,OK,3,2,3,2,3,2,1,1,0,0,0,0,0,0
TakahikoKawasaki-nv-websocket-client,OK,124,38,124,38,550,291,86,259,120,35,506,267,85,239
jiangxincode-SearchEngine,OK,17,16,17,16,44,43,1,1,13,13,40,40,0,0
aliyun-aliyun-log-flink-connector,OK,24,18,24,18,66,54,6,12,18,13,37,32,5,5
weaverj-erserver,OK,29,7,29,7,79,20,22,59,26,5,62,11,21,51
threedr3am-dubbo-exp,OK,17,12,17,12,42,32,5,10,11,7,13,9,4,4
ainslec-picocog,OK,43,34,43,34,546,470,9,76,43,34,546,470,9,76
wavefrontHQ-wftop,OK,2369,299,2369,299,80450,64875,2070,15575,2360,291,62185,55691,2069,6494
mincloud1501-DevOps,OK,2,2,2,2,5,5,0,0,2,2,5,5,0,0
openapi-tools-swagger-maven-plugin,OK,35,17,35,17,112,63,18,49,30,13,32,14,17,18
murreIsCoding-auth,OK,4,3,4,3,29,22,1,7,2,2,15,15,0,0
naver-lucy-xss-servlet-filter,OK,8549,398,8549,398,163638,36400,8151,127238,8541,391,132248,7806,8150,124442
rusakovichma-DocsReporter,OK,1066858,364,1066858,364,3527041,44774,1066494,3482267,1066840,349,3496180,28782,1066491,3467398
hengyunabc-metrics-zabbix,OK,27484,1091,27484,1091,94797,7959,26393,86838,27470,1078,92494,6356,26392,86138
mdeanda-lorem,OK,10352,63,10352,63,55301,4881,10289,50420,10352,63,55301,4881,10289,50420
ctrl-alt-dev-tps-parse,OK,6499,533,6499,533,103049,80365,5966,22684,6488,524,81365,62350,5964,19015
mesosphere-marathon-client,OK,9892,1036,9895,1039,63246,28313,8856,34933,9847,1017,55319,21404,8830,33915
Javastro-jsofa,OK,79,3,79,3,275,9,76,266,78,2,273,7,76,266
Chatanga-Girinoscope,OK,3,2,3,2,5,3,1,2,3,2,5,3,1,2
ctapweb-AutoSubClause,OK,1366786,5973,1366786,5973,9010739,4675591,1360813,4335148,1366557,5953,8329518,4269487,1360604,4060031
MieskeB-json-api-spring-boot,OK,21712,158,21712,158,143981,7842,21554,136139,21709,156,130526,1113,21553,129413
stevespringett-owasp-risk-rating-calculator,OK,5,5,5,5,43,43,0,0,4,4,26,26,0,0
edgexfoundry-support-rulesengine,OK,44064,458,44064,458,134497,9572,43606,124925,44052,448,131833,7828,43604,124005
blackbeard334-djoom3,OK,14,4,14,4,990,965,10,25,12,2,30,5,10,25
bernardosulzbach-dungeon,OK,10629,1390,10630,1389,130901,75865,9241,55036,10622,1382,127495,72746,9240,54749
HugoJhonathan-Challenge-Oracle-ONE-conversordemoedas,OK,3,3,3,3,21,21,0,0,3,3,21,21,0,0
knowm-jspice,OK,21325,584,21325,584,117315,19257,20741,98058,21317,577,100652,7185,20740,93467
GoSimpleLLC-jpgAgent,OK,4,3,4,3,26,16,1,10,0,0,0,0,0,0
BarcodeAPI-server,OK,33476,883,33476,883,139911,15508,32593,124403,33458,867,133640,11512,32591,122128
davidmoten-rtree2,OK,24602100,1783,24602100,1783,202274764,2786453,24600317,199488311,24602085,1770,201217851,1729984,24600315,199487867
retomerz-mosquito,OK,5,3,5,3,10,8,2,2,5,3,10,8,2,2
Supera-Inovacao-Tecnologia-PS-Java,OK,17762,1717,17762,1717,118387,69504,16045,48883,17724,1684,111447,64741,16040,46706
ukman-kolobok,OK,136,33,136,33,369,107,103,262,134,31,352,90,103,262
octavian-h-time-series-math,OK,1295328,542403,1295328,542403,315077191,150898164,752925,164179027,1295307,542385,297083760,136261159,752922,160822601
Proteus1989-Air-Explorer-Decrypter,OK,30,7,30,7,901,873,23,28,28,6,38,11,22,27
julienchastang-charts4j,OK,49690,1123,49690,1123,190490,10989,48567,179501,49682,1116,186672,8499,48566,178173
eBay-json-comparison,OK,26087,1147,26087,1147,107527,10100,24940,97427,26070,1132,104531,8022,24938,96509
archervanderwaal-storm-server,OK,15652,732,15652,732,66248,20420,14920,45828,15642,724,64958,19697,14918,45261
alipay-ams-java-sdk,OK,3247,227,3257,227,103216,62605,3030,40611,3209,218,80887,51320,2991,29567
ricksbrown-jgenhtml,OK,908084,763,908084,763,5377994,195329,907321,5182665,908077,757,5044472,11978,907320,5032494
alibaba-rsocket-broker-rsocket-broker-gateway-mqtt,OK,70,51,70,51,254,171,19,83,63,45,207,138,18,69
jcabi-jcabi-maven-plugin,OK,33,22,33,22,94,66,11,28,31,20,80,52,11,28
yawkat-reflect,OK,4,3,4,3,4,3,1,1,1,1,1,1,0,0
